portfolio_id,first_name,last_name,email,investment_type,stock_symbol,purchase_date,purchase_price,quantity,sale_date,sale_price,profit,industry_sector,risk_level,market_cap,annual_return,exchange,Investment_strategy
1,Viole,Avrasin,vavrasin0@nymag.com,Stocks,ARII,1/21/2010,136.89,5203,4/14/2011,376.28,error: Field 'sale_total' not found,Finance,Medium,568582628,14.37,NASDAQ,Safe
2,Layney,Tyrrell,ltyrrell1@google.fr,Bonds,AXAR,10/3/2016,790.57,16,8/22/2020,393.33,error: Field 'sale_total' not found,Finance,Medium,601212454,79.3,NYSE,Safe
3,Alair,Arlt,aarlt2@japanpost.jp,ETFs,SNHNL,8/25/2019,403.77,238,9/22/2011,889.87,error: Field 'sale_total' not found,Healthcare,Medium,560911620,83.73,NASDAQ,Safe
4,Oralla,Crossfeld,ocrossfeld3@businessinsider.com,ETFs,CLH,6/13/2021,423.85,9580,9/26/2017,4.86,error: Field 'sale_total' not found,Healthcare,Low,561464150,8.55,LSE,Safe
5,Kristal,Coule,kcoule4@flavors.me,ETFs,BUSE,3/16/2020,485.8,6829,1/28/2016,218.67,error: Field 'sale_total' not found,Technology,Low,299339804,91.19,NYSE,Medium
6,Blythe,Bercher,bbercher5@google.com,ETFs,EFSC,3/16/2010,558.09,2373,8/16/2015,837.29,error: Field 'sale_total' not found,Finance,Medium,699974969,92.64,NYSE,Safe
7,Hanna,Antoszewski,hantoszewski6@weibo.com,Bonds,GAIA,2/14/2021,259.46,139,2/10/2010,34.47,error: Field 'sale_total' not found,Finance,Medium,539995822,94.22,NASDAQ,Risky
8,Devi,Grafom,dgrafom7@theglobeandmail.com,Stocks,ESGR,10/26/2012,863.08,824,2/26/2012,995.09,error: Field 'sale_total' not found,Technology,Low,484437467,79.68,NASDAQ,Medium
9,Caril,Minchell,cminchell8@example.com,Bonds,CCN,10/5/2022,608.61,7858,6/7/2022,859.24,error: Field 'sale_total' not found,Finance,High,191164061,70.08,NYSE,Risky
10,Lewes,O'Bradain,lobradain9@dyndns.org,Stocks,USAT,11/25/2012,971.87,3896,5/12/2022,737.87,error: Field 'sale_total' not found,Finance,Medium,590948712,17.54,NYSE,Safe
11,Jemie,Camble,jcamblea@msn.com,ETFs,MUC,6/17/2019,900.88,7416,9/23/2015,361.48,error: Field 'sale_total' not found,Technology,Medium,251185745,23.38,NYSE,Medium
12,Theresina,Giffon,tgiffonb@acquirethisname.com,ETFs,LJPC,10/15/2016,421.76,7186,10/12/2010,509.58,error: Field 'sale_total' not found,Finance,Medium,430696418,86.56,NYSE,Medium
13,Romonda,Georgiades,rgeorgiadesc@telegraph.co.uk,Stocks,AAOI,9/29/2021,560.5,5565,9/3/2018,375.69,error: Field 'sale_total' not found,Finance,Low,383945138,13.78,NASDAQ,Safe
14,Angelle,Bolland,abollandd@google.it,ETFs,TRNC,8/8/2016,974.99,3212,5/21/2014,699.04,error: Field 'sale_total' not found,Technology,Low,770673176,61.16,NYSE,Medium
15,Harwilll,Bowater,hbowatere@wordpress.org,ETFs,IIJI,5/9/2020,680.31,289,10/26/2016,386.5,error: Field 'sale_total' not found,Finance,Medium,147148982,81.57,LSE,Medium
16,Kristal,Coopey,kcoopeyf@simplemachines.org,Bonds,TMHC,11/10/2014,286.61,4410,8/15/2022,572.96,error: Field 'sale_total' not found,Technology,High,992703071,81.68,LSE,Safe
17,Avrom,Crepin,acreping@bloomberg.com,ETFs,MTU,3/21/2011,225.3,4631,4/1/2010,254.28,error: Field 'sale_total' not found,Technology,High,250299968,75.22,LSE,Safe
18,Lizabeth,Haddleston,lhaddlestonh@jigsy.com,Bonds,SGLBW,6/21/2010,49.65,8097,8/14/2020,16.78,error: Field 'sale_total' not found,Technology,High,642226722,4.57,NYSE,Risky
19,Mellicent,Gimlet,mgimleti@unc.edu,Bonds,LOR,11/26/2015,694.36,1049,6/19/2017,742.18,error: Field 'sale_total' not found,Finance,Medium,195861818,92.78,NYSE,Risky
20,Nahum,Bradmore,nbradmorej@gnu.org,Bonds,DXPE,6/29/2011,635.61,1316,10/29/2016,117.48,error: Field 'sale_total' not found,Healthcare,High,763055177,41.24,NYSE,Safe
21,Gareth,Grossman,ggrossmank@quantcast.com,Bonds,FMB,7/28/2011,572.8,4711,9/19/2022,916.93,error: Field 'sale_total' not found,Finance,Low,935929706,50.79,LSE,Risky
22,Padget,Tansly,ptanslyl@tripod.com,Stocks,DDE,10/25/2019,732.93,3674,1/19/2016,67.22,error: Field 'sale_total' not found,Technology,Medium,414620008,88.68,NASDAQ,Safe
23,Rozalin,Kleinsinger,rkleinsingerm@exblog.jp,ETFs,SLG^I,12/7/2021,532.56,4568,10/27/2021,965.94,error: Field 'sale_total' not found,Finance,Low,312907133,36.2,NYSE,Risky
24,Becka,McGuirk,bmcguirkn@bbc.co.uk,ETFs,CGI,7/16/2012,657.95,8188,11/4/2016,868.74,error: Field 'sale_total' not found,Healthcare,High,749900421,80.21,LSE,Medium
25,Brigid,Saville,bsavilleo@themeforest.net,Bonds,AHT^G,1/25/2015,191.06,1758,4/2/2011,761.97,error: Field 'sale_total' not found,Technology,Low,905129823,6.77,NASDAQ,Safe
